City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,meiganga,6.5167,14.3,21.99000000000001,83,62,1.42,CM,1722617752
289,port saint john's,-31.6229,29.5448,17.840000000000032,82,71,3.84,ZA,1722617753
290,brookings,44.3114,-96.7984,29.689999999999998,66,0,3.6,US,1722617673
291,katsuura,35.1333,140.3,23.52000000000004,89,6,2.38,JP,1722617756
292,tura,25.5198,90.2201,23.430000000000007,98,100,3.08,IN,1722617757
293,quthing,-30.4,27.7003,11.04000000000002,49,5,1.83,LS,1722617758
294,berga,60.392,5.328,19.230000000000018,52,0,2.06,NO,1722617759
295,quirihue,-36.2833,-72.5333,10.900000000000034,84,77,5.31,CL,1722617760
296,irtyshsk,53.3333,75.4572,19.420000000000016,79,98,5.19,KZ,1722617761
297,saint-philippe,-21.3585,55.7679,20.77000000000004,67,13,1.75,RE,1722617763
298,kotlas,61.2611,46.6556,18.189999999999998,73,99,1.7,RU,1722617764
299,shindand,33.3029,62.1474,31.629999999999995,12,0,14.06,AF,1722617765
300,hilo,19.7297,-155.09,24.79000000000002,97,100,2.57,US,1722617766
301,port-saint-louis-du-rhone,43.3833,4.8,36.379999999999995,43,0,7.2,FR,1722617767
302,ust-nera,64.5667,143.2,2.830000000000041,86,69,1.59,RU,1722617768
303,shalqar,47.8333,59.6,27.910000000000025,24,0,3.76,KZ,1722617770
304,la ronge,55.1001,-105.2842,23.140000000000043,43,40,6.17,CA,1722617771
305,shimoda,34.6667,138.95,23.950000000000045,88,7,1.65,JP,1722617772
306,sheksna,59.21,38.5107,20.980000000000018,74,31,1.97,RU,1722617773
307,mount isa,-20.7333,139.5,10.870000000000005,66,0,0.51,AU,1722617774
308,barentu,15.1139,37.5928,19.700000000000045,89,100,0.91,ER,1722617775
309,noyabrsk,63.1994,75.4507,17.689999999999998,95,80,4.69,RU,1722617777
310,northam,51.0333,-4.2167,21.33000000000004,87,65,8.24,GB,1722617778
311,howell,42.6073,-83.9294,27.439999999999998,83,75,2.57,US,1722617640
312,chui,-33.6971,-53.4616,24.660000000000025,59,18,5.63,UY,1722617780
313,paphos,34.7667,32.4167,29.57000000000005,83,20,6.69,CY,1722617781
314,jebrail,39.3992,47.0283,26.230000000000018,41,14,2.89,AZ,1722617782
315,kilindoni,-7.9139,39.6668,24.910000000000025,75,19,7.74,TZ,1722617784
316,contamana,-7.3333,-75.0167,35.870000000000005,31,11,2.51,PE,1722617785
317,garissa,-0.4536,39.6401,27.150000000000034,47,74,10.03,KE,1722617654
318,rongelap,11.1635,166.8941,28.29000000000002,79,21,3.07,MH,1722617787
319,san antonio de pale,-1.4014,5.6325,22.32000000000005,81,63,4.68,GQ,1722617788
320,livingston,55.9029,-3.5226,19.200000000000045,77,100,8.23,GB,1722617717
321,farafangana,-22.8167,47.8333,20.510000000000048,62,21,2.34,MG,1722617791
322,walvis bay,-22.9575,14.5053,13.53000000000003,76,0,2.06,,1722617792
323,bamboo flat,11.7,92.7167,26.05000000000001,94,100,1.03,IN,1722617793
324,petropavlovsk-kamchatsky,53.0452,158.6483,16.33000000000004,72,75,2.0,RU,1722617794
325,turkmenbasy,40.0222,52.9552,31.430000000000007,40,75,4.12,TM,1722617795
326,napili-honokowai,20.9708,-156.6705,23.510000000000048,75,52,3.15,US,1722617796
327,coyhaique,-45.5752,-72.0662,9.340000000000032,99,100,2.36,CL,1722617506
328,quellon,-43.1167,-73.6167,10.340000000000032,84,99,6.45,CL,1722617799
